jd_id,job_title,max_score,avg_top5
1647,Software Engineer,15.4,9.428
652,Flutter Developer,9.98,9.420000000000002
677,Network Administrator,12.31,9.42
300,JavaScript Developer,12.37,9.411999999999999
597,Backend Developer,11.66,9.41
2075,DevOps Engineer,18.19,9.404
651,iOS Developer,10.94,9.388
198,iOS Developer,10.94,9.388
223,Django Developer,13.49,9.378
906,PHP Developer,15.31,9.376000000000001
1373,Flutter Developer,13.09,9.373999999999999
778,iOS Developer,11.89,9.372
1583,Java Developer,14.22,9.37
557,Full Stack Developer,11.93,9.366
819,Machine Learning,11.1,9.358
1259,Django Developer,11.71,9.356
1119,PHP Developer,12.87,9.354
1598,Wordpress Developer,13.56,9.348
2037,Django Developer,16.75,9.347999999999999
151,Network Administrator,16.18,9.344
2016,iOS Developer,14.39,9.338000000000001
1433,Django Developer,13.67,9.324000000000002
1943,PHP Developer,10.78,9.324
1982,Software Engineer,10.77,9.324
1951,Software Engineer,11.06,9.318
656,JavaScript Developer,11.47,9.318
1986,Node js developer,11.7,9.313999999999998
614,Node js developer,13.44,9.312
507,Software Engineer,16.9,9.309999999999999
463,DevOps Engineer,16.9,9.309999999999999
1896,Backend Developer,10.97,9.304
1410,DevOps Engineer,11.75,9.302000000000001
519,Flutter Developer,11.59,9.3
1485,Software Engineer,16.56,9.296
2001,Django Developer,14.03,9.286000000000001
81,Flutter Developer,9.63,9.286
434,Flutter Developer,10.86,9.286
415,iOS Developer,12.45,9.274000000000001
803,Software Engineer,11.42,9.264
1143,Java Developer,14.56,9.262
1788,Django Developer,14.43,9.25
1405,DevOps Engineer,9.67,9.248000000000001
2136,Django Developer,10.45,9.248
835,Flutter Developer,10.77,9.242
968,Flutter Developer,13.97,9.224
2218,Network Administrator,14.56,9.222
1298,PHP Developer,10.64,9.22
1134,PHP Developer,12.95,9.214
713,Backend Developer,10.93,9.198
1526,Backend Developer,11.67,9.196
1111,Flutter Developer,10.29,9.190000000000001
1334,JavaScript Developer,10.11,9.19
628,DevOps Engineer,14.41,9.188
587,Backend Developer,18.57,9.187999999999999
1073,Django Developer,12.4,9.187999999999999
1584,Software Engineer,10.6,9.184
717,Flutter Developer,13.88,9.18
1707,JavaScript Developer,14.35,9.178
2100,Flutter Developer,10.3,9.178
807,Network Administrator,12.8,9.17
474,Django Developer,11.93,9.16
1386,Node js developer,13.2,9.152
983,Django Developer,17.01,9.148
985,JavaScript Developer,11.25,9.142
583,Java Developer,10.82,9.14
1301,Software Engineer,10.97,9.14
833,Machine Learning,15.37,9.134
1252,JavaScript Developer,13.09,9.134
95,Full Stack Developer,11.32,9.128
1141,Node js developer,12.87,9.127999999999998
1350,DevOps Engineer,11.73,9.124
564,Software Engineer,13.12,9.116
2165,iOS Developer,13.01,9.104000000000001
521,Django Developer,10.58,9.1
2196,Java Developer,12.03,9.094
584,DevOps Engineer,10.16,9.088
1150,Flutter Developer,9.65,9.081999999999999
1418,iOS Developer,11.96,9.07
122,JavaScript Developer,13.49,9.063999999999998
1759,Backend Developer,10.37,9.062000000000001
1859,iOS Developer,11.27,9.052000000000001
640,Java Developer,13.65,9.05
1929,Full Stack Developer,10.62,9.049999999999999
1749,Software Engineer,12.47,9.046
1206,DevOps Engineer,10.38,9.044
397,PHP Developer,11.73,9.044
971,Backend Developer,10.74,9.024000000000001
1830,Backend Developer,14.4,9.017999999999999
726,JavaScript Developer,10.5,9.014
1714,JavaScript Developer,14.75,9.014
2129,Machine Learning,12.41,9.012
538,Network Administrator,13.11,9.012
2162,iOS Developer,15.28,9.01
42,Java Developer,12.9,9.008
384,PHP Developer,10.65,8.99
247,PHP Developer,11.4,8.976
1079,Backend Developer,9.28,8.974
25,iOS Developer,12.14,8.974
1934,DevOps Engineer,15.88,8.964
1161,Network Administrator,14.79,8.944
1130,Software Engineer,9.72,8.942
1389,Software Engineer,11.43,8.940000000000001
504,Java Developer,10.91,8.940000000000001
2061,Machine Learning,11.37,8.934000000000001
403,Flutter Developer,10.84,8.934000000000001
757,Node js developer,11.48,8.924
2159,Flutter Developer,10.9,8.924
2228,Network Administrator,14.1,8.918000000000001
1535,Software Engineer,11.74,8.914
2048,Backend Developer,11.18,8.91
136,Full Stack Developer,9.37,8.91
824,Network Administrator,15.97,8.91
237,PHP Developer,9.46,8.904
489,PHP Developer,10.22,8.898
1828,Java Developer,9.89,8.895999999999999
2011,Django Developer,12.12,8.886
361,Network Administrator,16.98,8.884
1294,Wordpress Developer,12.07,8.882000000000001
1126,Java Developer,13.28,8.882
1704,iOS Developer,10.71,8.879999999999999
110,Backend Developer,12.29,8.876000000000001
117,PHP Developer,13.71,8.876
1401,Java Developer,13.25,8.866
1807,Backend Developer,10.02,8.862
920,iOS Developer,11.12,8.862
1832,Node js developer,13.8,8.856
2172,Database Administrator,12.79,8.854
879,DevOps Engineer,10.99,8.846
313,Software Engineer,9.65,8.838
82,Full Stack Developer,12.45,8.834
706,Django Developer,9.92,8.832
913,Node js developer,16.58,8.831999999999999
802,Software Engineer,14.36,8.831999999999999
1494,Backend Developer,12.68,8.83
365,Flutter Developer,10.84,8.826
2150,Node js developer,10.09,8.826
1755,Flutter Developer,10.38,8.824000000000002
84,Software Engineer,14.3,8.814
1817,Node js developer,11.23,8.81
468,PHP Developer,10.51,8.803999999999998
1225,Flutter Developer,11.43,8.802
389,Java Developer,10.61,8.802
513,Machine Learning,12.51,8.8
1275,Wordpress Developer,9.86,8.8
1806,Software Engineer,11.17,8.790000000000001
