resume_id,score,coverage,decision
2216,18.99,0.4,Rejected
1204,18.98,0.4,Rejected
1659,18.95,0.4,Rejected
44,18.95,0.4,Rejected
1679,18.95,0.4,Rejected
604,18.92,0.4,Rejected
2143,18.92,0.4,Rejected
724,18.91,0.4,Rejected
1381,18.91,0.4,Rejected
1492,18.9,0.47,Rejected
231,18.9,0.4,Rejected
821,18.88,0.4,Rejected
7,18.86,0.4,Rejected
610,18.86,0.4,Rejected
1978,18.85,0.4,Rejected
1461,18.85,0.4,Rejected
558,18.83,0.4,Rejected
2206,18.83,0.4,Rejected
106,18.82,0.4,Rejected
1658,18.81,0.4,Rejected
109,18.81,0.4,Rejected
274,18.8,0.4,Rejected
1640,18.79,0.4,Rejected
779,18.79,0.4,Rejected
580,18.79,0.4,Rejected
1518,18.79,0.4,Rejected
1971,18.78,0.4,Rejected
1401,18.77,0.4,Rejected
1932,18.76,0.4,Rejected
2371,18.75,0.4,Rejected
1192,18.74,0.4,Rejected
200,18.74,0.4,Rejected
2125,18.73,0.4,Rejected
1599,18.72,0.4,Rejected
2256,18.71,0.4,Rejected
1240,18.7,0.4,Rejected
1158,18.7,0.4,Rejected
2304,18.68,0.4,Rejected
655,18.68,0.4,Rejected
1826,18.66,0.4,Rejected
142,18.65,0.4,Rejected
1588,18.64,0.4,Rejected
2020,18.64,0.33,Rejected
1756,18.64,0.33,Rejected
1263,18.64,0.33,Rejected
138,18.63,0.4,Rejected
773,18.62,0.4,Rejected
10,18.61,0.4,Rejected
2025,18.61,0.4,Rejected
1744,18.6,0.4,Rejected
1745,18.6,0.4,Rejected
574,18.6,0.4,Rejected
674,18.59,0.4,Rejected
2440,18.58,0.4,Rejected
997,18.58,0.4,Rejected
563,18.58,0.4,Rejected
212,18.58,0.4,Rejected
1668,18.57,0.4,Rejected
1688,18.56,0.4,Rejected
2374,18.56,0.4,Rejected
1006,18.56,0.4,Rejected
1331,18.55,0.4,Rejected
2249,18.54,0.4,Rejected
1419,18.54,0.4,Rejected
859,18.53,0.4,Rejected
113,18.52,0.4,Rejected
2132,18.5,0.4,Rejected
994,18.49,0.4,Rejected
1385,18.49,0.4,Rejected
1029,18.47,0.4,Rejected
211,18.47,0.4,Rejected
1076,18.46,0.4,Rejected
246,18.46,0.4,Rejected
1484,18.46,0.4,Rejected
1392,18.46,0.4,Rejected
1116,18.46,0.4,Rejected
907,18.46,0.4,Rejected
740,18.44,0.4,Rejected
1734,18.43,0.33,Rejected
47,18.43,0.4,Rejected
1735,18.43,0.4,Rejected
2193,18.42,0.4,Rejected
729,18.42,0.4,Rejected
1530,18.42,0.4,Rejected
1024,18.42,0.4,Rejected
1152,18.41,0.4,Rejected
1956,18.41,0.4,Rejected
1191,18.4,0.4,Rejected
1758,18.39,0.4,Rejected
671,18.38,0.4,Rejected
1437,18.37,0.4,Rejected
1713,18.36,0.4,Rejected
1265,18.36,0.4,Rejected
1965,18.35,0.4,Rejected
786,18.33,0.4,Rejected
2257,18.33,0.4,Rejected
2390,18.32,0.4,Rejected
2016,18.31,0.4,Rejected
167,18.31,0.4,Rejected
69,18.31,0.4,Rejected
186,18.3,0.4,Rejected
835,18.29,0.4,Rejected
566,18.28,0.4,Rejected
926,18.27,0.33,Rejected
1664,18.27,0.4,Rejected
688,18.27,0.4,Rejected
1288,18.26,0.4,Rejected
1001,18.26,0.4,Rejected
856,18.25,0.4,Rejected
626,18.25,0.4,Rejected
1073,18.24,0.4,Rejected
2187,18.24,0.4,Rejected
1889,18.23,0.4,Rejected
1487,18.22,0.4,Rejected
2173,18.22,0.4,Rejected
143,18.22,0.4,Rejected
235,18.2,0.4,Rejected
817,18.2,0.4,Rejected
145,18.19,0.4,Rejected
